court,house,area,u_price,t_price,detail_url
青特小镇,3室2厅2卫,95.2,15240,145,https://qd.anjuke.com/prop/view/A5592021788?auction=201&hpType=1&entry=102&position=0&kwtype=filter&now_time=1625013750&spread=filtersearch_p&from=from_esf_List_screen&index=0
龙湖悠山郡,3室1厅1卫,89,16630,148,https://qd.anjuke.com/prop/view/A5759461209?auction=201&hpType=1&entry=102&position=1&kwtype=filter&now_time=1625013750&spread=filtersearch_p&from=from_esf_List_screen&index=1
龙湖悠山郡,3室2厅1卫,89,16405,146,https://qd.anjuke.com/prop/view/A5740571225?auction=201&hpType=1&entry=102&position=2&kwtype=filter&now_time=1625013750&spread=filtersearch_p&from=from_esf_List_screen&index=2
青特小镇,3室2厅1卫,89.8,15041,135,https://qd.anjuke.com/prop/view/A5723512908?auction=201&hpType=1&entry=102&position=3&kwtype=filter&now_time=1625013750&spread=filtersearch_p&from=from_esf_List_screen&index=3
龙湖悠山郡,3室2厅1卫,89,16293,145,https://qd.anjuke.com/prop/view/A5810721462?auction=201&hpType=1&entry=102&position=4&kwtype=filter&now_time=1625013750&spread=filtersearch_p&from=from_esf_List_screen&index=4
融创维多利亚湾,3室2厅1卫,96,9688,93,https://qd.anjuke.com/prop/view/A5803922695?auction=201&hpType=1&entry=102&position=5&kwtype=filter&now_time=1625013750&spread=filtersearch_p&from=from_esf_List_screen&index=5
融创维多利亚湾,3室2厅1卫,95.4,9752,93,https://qd.anjuke.com/prop/view/A5807606179?auction=201&hpType=1&entry=102&position=6&kwtype=filter&now_time=1625013750&spread=filtersearch_p&from=from_esf_List_screen&index=6
青特小镇,3室2厅1卫,96,15417,148,https://qd.anjuke.com/prop/view/A5801343284?auction=201&hpType=1&entry=102&position=7&kwtype=filter&now_time=1625013750&spread=filtersearch_p&from=from_esf_List_screen&index=7
青特小镇,3室2厅1卫,97,15258,148,https://qd.anjuke.com/prop/view/A5811446777?auction=201&hpType=1&entry=102&position=8&kwtype=filter&now_time=1625013750&spread=filtersearch_p&from=from_esf_List_screen&index=8
青特小镇,3室2厅1卫,97,15982,155,https://qd.anjuke.com/prop/view/A5771956936?auction=207&hpType=11&entry=102&position=9&kwtype=filter&now_time=1625013750&spread=filtersearch_c&from=from_esf_List_screen&index=9
